;CO(GT);PT08.S1(CO);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH;Month;Hour
1949;0.4;878.0;46.0;1181.0;64.0;1407.0;21.4;36.9;0.9271;5;23
1950;0.2;836.0;16.0;1213.0;28.0;1353.0;20.6;39.9;0.9597;5;0
1951;0.3;855.0;27.0;1107.0;46.0;1418.0;19.7;43.2;0.9812;5;1
1952;2.1527495439145166;759.0;4.0;1323.0;8.0;1286.0;19.7;42.4;0.9636;5;2
1953;2.1527495439145166;738.0;246.8967349054159;1421.0;113.09125081011017;1257.0;18.9;45.0;0.9703;5;3
1954;2.1527495439145166;736.0;19.0;1451.0;32.0;1254.0;18.7;45.4;0.9694;5;4
1955;2.1527495439145166;765.0;48.0;1304.0;57.0;1319.0;16.4;52.4;0.9709;5;5
1956;0.5;909.0;82.0;1031.0;60.0;1527.0;16.6;52.1;0.9785;5;6
1957;1.6;1108.0;167.0;804.0;83.0;1801.0;17.4;50.9;1.0017;5;7
1958;3.6;1252.0;248.0;681.0;129.0;2120.0;19.3;46.0;1.0185;5;8
1959;2.2;1175.0;213.0;790.0;137.0;1901.0;20.9;43.6;1.0683;5;9
1960;1.6;1111.0;161.0;839.0;121.0;1790.0;25.6;33.3;1.0773;5;1
1961;1.4;1044.0;144.0;889.0;123.0;1683.0;28.9;26.0;1.0188;5;11
1962;1.4;1018.0;127.0;909.0;120.0;1677.0;30.3;22.8;0.9695;5;12
1963;1.5;1060.0;116.0;863.0;119.0;1721.0;30.9;24.4;1.0724;5;13
1964;1.3;1071.0;124.0;864.0;121.0;1733.0;30.5;26.2;1.1278;5;14
1965;1.2;1006.0;115.0;921.0;111.0;1636.0;30.7;23.4;1.015;5;15
1966;1.8;1104.0;150.0;827.0;128.0;1803.0;28.1;29.8;1.1132;5;16
1967;3.0;1196.0;221.0;739.0;159.0;1971.0;26.9;32.2;1.1267;5;17
1968;3.5;1243.0;227.0;687.0;161.0;2093.0;26.0;34.6;1.1485;5;18
1969;2.4;1124.0;156.0;794.0;116.0;1858.0;24.5;37.7;1.1454;5;19
1970;1.1;1020.0;97.0;904.0;96.0;1716.0;21.7;46.9;1.2044;5;2
1971;0.8;1035.0;78.0;977.0;69.0;1694.0;19.3;68.8;1.519;5;21
1972;0.4;986.0;60.0;1063.0;58.0;1633.0;17.6;81.6;1.6296;5;22
1973;0.6;1017.0;61.0;986.0;59.0;1676.0;17.8;80.3;1.6212;5;23
1974;0.3;922.0;46.0;1085.0;45.0;1585.0;18.6;75.7;1.6074;6;0
1975;2.1527495439145166;830.0;17.0;1235.0;23.0;1487.0;19.6;68.4;1.5443;6;1
1976;2.1527495439145166;805.0;18.0;1339.0;26.0;1494.0;18.0;76.4;1.5608;6;2
1977;2.1527495439145166;760.0;246.8967349054159;1527.0;113.09125081011017;1413.0;17.3;77.2;1.5104;6;3
1978;2.1527495439145166;783.0;16.0;1437.0;24.0;1435.0;16.5;82.3;1.5318;6;4
1979;0.1;854.0;39.0;1272.0;41.0;1515.0;16.8;81.3;1.5452;6;5
1980;0.3;985.0;107.0;987.0;65.0;1677.0;17.3;78.6;1.5412;6;6
1981;1.4;1225.0;190.0;760.0;94.0;1922.0;16.9;80.9;1.5472;6;7
1982;2.7;1313.0;236.0;671.0;100.0;2180.0;17.1;79.8;1.542;6;8
1983;2.3;1199.0;227.0;758.0;103.0;1958.0;18.5;70.3;1.4826;6;9
1984;1.8;1182.0;211.0;829.0;89.0;1870.0;19.6;66.7;1.5023;6;1
1985;1.6;1173.0;201.0;814.0;86.0;1905.0;20.4;63.1;1.4969;6;11
1986;1.9;1259.0;191.0;722.0;89.0;2060.0;21.6;61.8;1.5775;6;12
1987;2.5;1263.0;192.0;759.0;88.0;2029.0;24.0;49.3;1.4509;6;13
1988;1.6;1156.0;143.0;800.0;73.0;1884.0;25.7;43.8;1.4262;6;14
1989;1.5;1167.0;148.0;808.0;78.0;1886.0;24.6;47.5;1.4487;6;15
1990;2.5;1278.0;183.0;733.0;95.0;2041.0;24.8;47.4;1.4628;6;16
1991;3.6;1342.0;216.0;657.0;109.0;2201.0;23.7;50.5;1.4636;6;17
1992;3.5;1353.0;184.0;683.0;95.0;2178.0;23.0;53.8;1.4968;6;18
1993;4.8;1501.0;248.0;588.0;101.0;2486.0;21.5;65.8;1.6688;6;19
1994;3.7;1355.0;221.0;678.0;88.0;2158.0;21.0;66.9;1.6436;6;2
1995;2.1;1230.0;159.0;737.0;77.0;2020.0;20.6;68.1;1.6329;6;21
1996;1.6;1148.0;136.0;822.0;75.0;1883.0;20.5;66.9;1.5914;6;22
1997;2.2;1171.0;168.0;822.0;81.0;1889.0;20.2;65.2;1.5251;6;23
1998;0.8;1021.0;95.0;927.0;57.0;1764.0;19.5;68.0;1.5269;6;0
1999;2.1527495439145166;964.0;70.0;958.0;49.0;1692.0;19.9;66.4;1.5203;6;1
2000;2.1527495439145166;887.0;43.0;1094.0;38.0;1622.0;19.1;69.0;1.5043;6;2
2001;2.1527495439145166;885.0;246.8967349054159;1051.0;113.09125081011017;1641.0;18.5;70.7;1.4962;6;3
2002;2.1527495439145166;830.0;30.0;1217.0;31.0;1556.0;18.9;67.8;1.4689;6;4
2003;2.1527495439145166;792.0;22.0;1280.0;23.0;1529.0;20.0;63.7;1.4742;6;5
2004;2.1527495439145166;813.0;25.0;1267.0;22.0;1538.0;19.8;64.7;1.4769;6;6
2005;2.1527495439145166;890.0;48.0;1145.0;33.0;1601.0;19.7;65.3;1.4843;6;7
2006;2.1527495439145166;984.0;73.0;964.0;43.0;1751.0;20.8;62.0;1.5002;6;8
2007;2.1527495439145166;1043.0;95.0;925.0;53.0;1777.0;22.2;56.6;1.4973;6;9
2008;2.1527495439145166;1054.0;86.0;915.0;54.0;1791.0;24.3;49.0;1.4724;6;1
2009;2.1527495439145166;1063.0;102.0;925.0;62.0;1749.0;25.0;46.5;1.4492;6;11
2010;2.1527495439145166;978.0;80.0;1003.0;53.0;1669.0;28.9;34.8;1.3603;6;12
2011;2.1527495439145166;887.0;36.0;1141.0;34.0;1560.0;29.6;33.4;1.3581;6;13
2012;2.1527495439145166;887.0;32.0;1164.0;30.0;1523.0;30.9;30.7;1.3493;6;14
2013;2.1527495439145166;977.0;46.0;1035.0;37.0;1645.0;31.8;31.0;1.4286;6;15
2014;2.1527495439145166;1043.0;61.0;929.0;47.0;1707.0;31.4;31.2;1.4127;6;16
2015;2.1527495439145166;1010.0;59.0;966.0;44.0;1676.0;28.9;35.7;1.3985;6;17
2016;2.1527495439145166;1094.0;76.0;876.0;53.0;1807.0;27.2;42.5;1.5135;6;18
2017;2.1527495439145166;1223.0;145.0;778.0;88.0;1965.0;26.2;46.4;1.5573;6;19
2018;2.1527495439145166;1109.0;140.0;834.0;95.0;1888.0;24.5;51.0;1.5454;6;2
2019;2.1527495439145166;1026.0;102.0;915.0;82.0;1781.0;22.8;56.1;1.5353;6;21
2020;2.1527495439145166;1036.0;89.0;914.0;59.0;1787.0;21.9;60.9;1.5799;6;22
2021;2.1527495439145166;963.0;62.0;995.0;43.0;1732.0;21.7;61.0;1.5617;6;23
2022;2.1527495439145166;996.0;69.0;957.0;51.0;1741.0;20.8;64.8;1.568;6;0
2023;2.1527495439145166;999.0;63.0;951.0;49.0;1756.0;20.3;70.9;1.6699;6;1
2024;2.1527495439145166;893.0;31.0;1056.0;36.0;1664.0;18.9;79.0;1.704;6;2
2025;2.1527495439145166;730.0;246.8967349054159;1517.0;113.09125081011017;1362.0;18.1;64.6;1.3276;6;3
2026;2.1527495439145166;753.0;17.0;1420.0;24.0;1414.0;18.6;64.5;1.3655;6;4
2027;2.1527495439145166;825.0;61.0;1203.0;58.0;1504.0;17.6;67.4;1.346;6;5
2028;2.1527495439145166;1012.0;184.0;882.0;73.0;1796.0;17.6;67.6;1.3479;6;6
2029;2.1527495439145166;1221.0;248.0;688.0;74.0;2144.0;19.0;61.7;1.3393;6;7
2030;2.1527495439145166;1215.0;220.0;694.0;97.0;2180.0;20.0;57.4;1.3268;6;8
2031;2.1527495439145166;1234.0;243.0;714.0;108.0;2108.0;22.6;45.9;1.2418;6;9
2032;2.1527495439145166;1138.0;164.0;798.0;93.0;1877.0;27.3;34.3;1.2284;6;1
2033;2.1527495439145166;987.0;246.8967349054159;914.0;113.09125081011017;1697.0;27.4;31.0;1.1184;6;11
2034;2.1527495439145166;980.0;246.8967349054159;921.0;113.09125081011017;1720.0;26.2;33.6;1.1244;6;12
2035;2.1527495439145166;966.0;246.8967349054159;885.0;113.09125081011017;1742.0;26.8;32.4;1.1263;6;13
2036;2.1527495439145166;905.0;246.8967349054159;1025.0;113.09125081011017;1582.0;28.7;27.7;1.071;6;14
2037;2.1527495439145166;903.0;246.8967349054159;992.0;113.09125081011017;1565.0;28.7;25.0;0.9684;6;15
2038;2.1527495439145166;914.0;246.8967349054159;988.0;113.09125081011017;1597.0;29.1;22.3;0.8811;6;16
2039;2.1527495439145166;1050.0;246.8967349054159;849.0;113.09125081011017;1781.0;29.0;24.5;0.9655;6;17
2040;2.1527495439145166;1043.0;246.8967349054159;876.0;113.09125081011017;1756.0;27.2;28.3;1.0016;6;18
2041;2.1527495439145166;1125.0;246.8967349054159;792.0;113.09125081011017;1899.0;25.3;30.0;0.952;6;19
2042;2.1527495439145166;1058.0;246.8967349054159;855.0;113.09125081011017;1797.0;24.1;34.8;1.0333;6;2
2043;2.1527495439145166;951.0;246.8967349054159;1015.0;113.09125081011017;1611.0;23.0;43.1;1.1993;6;21
2044;2.1527495439145166;944.0;246.8967349054159;1016.0;113.09125081011017;1593.0;22.1;43.9;1.1521;6;22
2045;2.1527495439145166;959.0;246.8967349054159;996.0;113.09125081011017;1616.0;21.0;48.1;1.178;6;23
2046;2.1527495439145166;974.0;246.8967349054159;976.0;113.09125081011017;1638.0;20.6;49.2;1.1754;6;0
2047;2.1527495439145166;880.0;246.8967349054159;1097.0;113.09125081011017;1533.0;21.2;47.6;1.1799;6;1
2048;2.1527495439145166;853.0;246.8967349054159;1146.0;113.09125081011017;1526.0;21.0;50.1;1.2338;6;2
2049;2.1527495439145166;912.0;246.8967349054159;1042.0;113.09125081011017;1564.0;20.1;53.1;1.2342;6;3
2050;2.1527495439145166;863.0;246.8967349054159;1098.0;113.09125081011017;1496.0;19.0;54.0;1.1745;6;4
2051;2.1527495439145166;729.0;246.8967349054159;1570.0;113.09125081011017;1318.0;19.2;51.1;1.124;6;5
2052;2.1527495439145166;830.0;246.8967349054159;1246.0;113.09125081011017;1459.0;19.2;53.1;1.1662;6;6
2053;2.1527495439145166;1198.0;246.8967349054159;779.0;113.09125081011017;2058.0;20.6;49.0;1.1748;6;7
2054;2.1527495439145166;971.0;246.8967349054159;921.0;113.09125081011017;1667.0;21.8;41.9;1.077;6;8
2055;2.1527495439145166;885.0;246.8967349054159;1100.0;113.09125081011017;1495.0;22.8;37.6;1.0315;6;9
2056;2.1527495439145166;862.0;246.8967349054159;1148.0;113.09125081011017;1456.0;24.8;31.3;0.9646;6;1
2057;2.1527495439145166;892.0;246.8967349054159;1080.0;113.09125081011017;1509.0;26.0;29.4;0.976;6;11
2058;2.1527495439145166;933.0;246.8967349054159;994.0;113.09125081011017;1577.0;27.0;27.8;0.9731;6;12
2059;2.1527495439145166;975.0;246.8967349054159;930.0;113.09125081011017;1668.0;27.0;29.3;1.0277;6;13
2060;2.1527495439145166;927.0;246.8967349054159;1016.0;113.09125081011017;1554.0;27.0;29.6;1.0419;6;14
2061;2.1527495439145166;993.0;246.8967349054159;950.0;113.09125081011017;1680.0;25.8;32.6;1.072;6;15
2062;2.7;1053.0;246.8967349054159;873.0;113.09125081011017;1749.0;26.2;32.6;1.0892;6;16
2063;3.6;1116.0;246.8967349054159;811.0;113.09125081011017;1863.0;28.3;27.5;1.0418;6;17
2064;3.3;1097.0;246.8967349054159;813.0;113.09125081011017;1867.0;26.5;29.7;1.0123;6;18
2065;3.6;1116.0;246.8967349054159;792.0;113.09125081011017;1938.0;25.7;31.8;1.0317;6;19
2066;2.9;1057.0;246.8967349054159;871.0;113.09125081011017;1769.0;24.4;35.2;1.0632;6;2
2067;1.9;973.0;246.8967349054159;987.0;113.09125081011017;1615.0;23.5;36.9;1.0518;6;21
2068;2.0;1016.0;246.8967349054159;951.0;113.09125081011017;1652.0;22.4;41.0;1.1006;6;22
2069;2.9;1120.0;246.8967349054159;849.0;113.09125081011017;1785.0;21.7;44.7;1.1451;6;23
2070;2.7;1076.0;246.8967349054159;846.0;113.09125081011017;1787.0;21.1;48.1;1.1864;6;0
2071;1.5;937.0;246.8967349054159;970.0;113.09125081011017;1625.0;20.7;50.0;1.203;6;1
2072;1.6;980.0;246.8967349054159;888.0;113.09125081011017;1702.0;19.8;53.1;1.2093;6;2
2073;1.3;937.0;246.8967349054159;962.0;113.09125081011017;1604.0;19.8;53.6;1.2214;6;3
2074;0.7;852.0;37.0;1095.0;63.0;1525.0;19.6;54.8;1.236;6;4
2075;0.7;858.0;57.0;1066.0;71.0;1542.0;19.3;57.3;1.265;6;5
2076;1.2;963.0;131.0;942.0;91.0;1702.0;19.7;58.4;1.3254;6;6
2077;1.5;966.0;171.0;969.0;95.0;1682.0;19.8;59.4;1.3554;6;7
2078;1.5;983.0;187.0;954.0;96.0;1691.0;20.9;54.8;1.3387;6;8
2079;1.6;990.0;133.0;985.0;81.0;1685.0;22.4;47.9;1.2817;6;9
2080;1.1;891.0;87.0;1110.0;68.0;1543.0;24.1;41.3;1.2202;6;1
2081;1.1;883.0;61.0;1130.0;57.0;1545.0;25.9;36.9;1.2133;6;11
2082;1.4;914.0;86.0;1010.0;68.0;1596.0;30.7;26.0;1.1287;6;12
2083;1.4;896.0;83.0;1017.0;72.0;1577.0;30.3;25.2;1.0652;6;13
2084;1.0;841.0;61.0;1135.0;62.0;1463.0;30.1;25.4;1.0641;6;14
2085;1.3;926.0;80.0;1048.0;75.0;1599.0;27.6;35.1;1.2764;6;15
2086;1.9;1133.0;110.0;838.0;92.0;1897.0;26.6;47.6;1.6315;6;16
2087;1.7;1042.0;108.0;917.0;89.0;1744.0;30.4;31.3;1.3331;6;17
2088;2.3;1124.0;134.0;793.0;105.0;1915.0;27.8;35.0;1.282;6;18
2089;2.4;1157.0;133.0;738.0;111.0;1970.0;26.6;37.9;1.2994;6;19
2090;1.8;989.0;118.0;954.0;102.0;1681.0;23.4;44.4;1.2646;6;2
2091;0.6;841.0;17.0;1123.0;30.0;1508.0;23.0;51.1;1.4175;6;21
2092;0.8;916.0;26.0;1007.0;43.0;1588.0;22.1;53.5;1.4087;6;22
2093;1.7;1008.0;55.0;907.0;67.0;1681.0;21.6;53.6;1.3674;6;23
2094;1.1;895.0;39.0;975.0;58.0;1574.0;21.9;52.7;1.365;6;0
2095;0.6;810.0;15.0;1093.0;24.0;1529.0;21.3;54.9;1.3707;6;1
2096;1.1;968.0;47.0;891.0;58.0;1727.0;17.5;79.1;1.5709;6;2
2097;1.1;922.0;246.8967349054159;871.0;113.09125081011017;1739.0;17.6;78.6;1.5722;6;3
2098;1.0;892.0;49.0;926.0;62.0;1660.0;17.1;81.8;1.5816;6;4
2099;0.5;806.0;21.0;1172.0;34.0;1525.0;16.6;80.2;1.5002;6;5
2100;0.7;827.0;33.0;1115.0;46.0;1552.0;16.8;77.4;1.4739;6;6
2101;1.0;881.0;63.0;1037.0;62.0;1623.0;18.3;66.5;1.381;6;7
2102;1.2;877.0;73.0;1011.0;70.0;1614.0;20.4;55.8;1.3196;6;8
2103;0.7;784.0;51.0;1314.0;54.0;1412.0;21.6;45.3;1.1533;6;9
2104;0.9;806.0;61.0;1270.0;61.0;1414.0;23.1;39.4;1.0983;6;1
2105;0.8;775.0;52.0;1349.0;53.0;1365.0;25.4;31.6;1.0058;6;11
2106;0.8;773.0;49.0;1331.0;49.0;1374.0;26.6;29.0;0.9928;6;12
2107;0.5;734.0;40.0;1471.0;48.0;1303.0;25.9;28.8;0.9475;6;13
2108;0.5;757.0;36.0;1445.0;45.0;1345.0;27.0;28.0;0.981;6;14
2109;0.7;817.0;51.0;1299.0;60.0;1435.0;23.6;38.1;1.0917;6;15
2110;0.9;815.0;56.0;1225.0;59.0;1418.0;25.9;32.0;1.0529;6;16
2111;1.0;844.0;71.0;1186.0;67.0;1445.0;26.3;31.5;1.0643;6;17
2112;1.2;880.0;79.0;1123.0;72.0;1510.0;23.9;36.8;1.0774;6;18
2113;1.3;906.0;117.0;1084.0;88.0;1547.0;23.7;36.8;1.0609;6;19
2114;1.6;904.0;127.0;1048.0;94.0;1549.0;22.5;37.8;1.0157;6;2
2115;1.4;877.0;118.0;1080.0;89.0;1535.0;21.8;39.2;1.0115;6;21
2116;1.7;918.0;130.0;1030.0;96.0;1569.0;20.9;42.6;1.04;6;22
2117;1.7;930.0;131.0;991.0;98.0;1631.0;20.0;45.6;1.0555;6;23
2118;1.4;870.0;102.0;1061.0;95.0;1557.0;19.3;47.9;1.059;6;0
2119;0.8;793.0;48.0;1222.0;64.0;1439.0;18.7;49.0;1.0462;6;1
2120;0.4;760.0;22.0;1263.0;38.0;1386.0;17.8;54.1;1.0938;6;2
2121;0.3;733.0;246.8967349054159;1281.0;113.09125081011017;1394.0;18.6;52.7;1.1206;6;3
2122;2.1527495439145166;726.0;22.0;1263.0;34.0;1386.0;17.2;57.9;1.127;6;4
2123;0.5;732.0;44.0;1273.0;40.0;1413.0;18.2;54.1;1.1155;6;5
2124;1.5;933.0;167.0;867.0;76.0;1705.0;17.3;57.6;1.1289;6;6
2125;2.6;1061.0;220.0;777.0;90.0;1898.0;19.9;49.4;1.1354;6;7
2126;4.3;1201.0;285.0;664.0;118.0;2249.0;21.7;44.2;1.1321;6;8
2127;3.1;1065.0;272.0;801.0;118.0;1894.0;23.5;40.0;1.1386;6;9
2128;2.9;1075.0;238.0;774.0;122.0;1943.0;28.4;29.7;1.1345;6;1
2129;2.5;998.0;207.0;832.0;120.0;1780.0;31.6;24.1;1.0994;6;11
2130;1.9;922.0;152.0;887.0;132.0;1744.0;31.3;24.1;1.0816;6;12
2131;2.5;1023.0;185.0;829.0;115.0;1842.0;34.4;20.4;1.0857;6;13
2132;2.5;1039.0;184.0;833.0;127.0;1815.0;33.7;21.3;1.0988;6;14
2133;2.8;1054.0;205.0;815.0;126.0;1848.0;35.9;18.9;1.0999;6;15
2134;2.3;1022.0;172.0;871.0;113.0;1840.0;34.3;19.4;1.0279;6;16
2135;3.3;1082.0;227.0;788.0;124.0;1910.0;33.5;19.9;1.0112;6;17
2136;2.8;1056.0;187.0;786.0;108.0;1896.0;30.5;24.2;1.0386;6;18
2137;4.8;1243.0;290.0;647.0;142.0;2281.0;30.3;26.2;1.1161;6;19
2138;2.5;1029.0;155.0;825.0;125.0;1827.0;27.0;36.7;1.2898;6;2
2139;2.0;1004.0;108.0;867.0;116.0;1754.0;24.6;41.9;1.2752;6;21
2140;1.8;979.0;94.0;919.0;101.0;1683.0;23.3;44.5;1.2566;6;22
2141;1.7;972.0;103.0;934.0;101.0;1668.0;22.4;46.9;1.2544;6;23
2142;1.3;942.0;78.0;980.0;92.0;1615.0;21.7;50.8;1.3019;6;0
2143;0.7;825.0;38.0;1129.0;55.0;1511.0;21.0;51.9;1.2794;6;1
2144;0.5;780.0;26.0;1277.0;42.0;1452.0;20.5;54.3;1.2926;6;2
2145;0.4;746.0;246.8967349054159;1369.0;113.09125081011017;1423.0;20.9;52.5;1.2852;6;3
2146;0.3;734.0;19.0;1449.0;30.0;1400.0;21.0;53.1;1.3031;6;4
2147;0.5;785.0;35.0;1265.0;40.0;1467.0;19.6;57.1;1.2851;6;5
2148;1.4;946.0;126.0;917.0;69.0;1745.0;18.2;62.3;1.2903;6;6
2149;3.3;1201.0;309.0;683.0;100.0;2144.0;19.5;57.7;1.2966;6;7
2150;5.8;1377.0;376.0;525.0;125.0;2746.0;21.6;51.7;1.313;6;8
2151;5.0;1346.0;441.0;602.0;174.0;2367.0;23.9;44.4;1.3029;6;9
2152;3.5;1230.0;309.0;698.0;171.0;2049.0;28.1;35.2;1.312;6;1
2153;2.9;1160.0;220.0;728.0;149.0;1925.0;31.4;28.6;1.298;6;11
2154;2.5;1146.0;168.0;761.0;124.0;1902.0;33.7;25.5;1.3095;6;12
2155;2.3;1078.0;149.0;818.0;119.0;1806.0;35.9;20.8;1.2103;6;13
2156;2.4;1111.0;160.0;794.0;130.0;1875.0;37.5;18.1;1.1529;6;14
2157;2.6;1083.0;177.0;825.0;143.0;1793.0;37.7;17.7;1.1383;6;15
2158;2.2;1056.0;246.8967349054159;865.0;113.09125081011017;1723.0;37.8;17.4;1.1219;6;16
2159;3.5;1220.0;176.0;695.0;183.0;2066.0;36.6;20.6;1.2445;6;17
2160;3.9;1268.0;202.0;650.0;161.0;2144.0;32.5;26.0;1.2502;6;18
2161;4.5;1256.0;255.0;660.0;170.0;2151.0;30.8;27.2;1.1832;6;19
2162;3.8;1213.0;210.0;683.0;143.0;2090.0;28.8;30.2;1.1761;6;2
2163;2.8;1145.0;157.0;751.0;123.0;1894.0;26.7;35.4;1.2233;6;21
2164;1.7;1050.0;96.0;836.0;89.0;1739.0;25.3;40.7;1.291;6;22
2165;1.2;972.0;59.0;933.0;67.0;1647.0;24.9;41.2;1.2809;6;23
2166;1.6;1020.0;81.0;853.0;81.0;1753.0;23.7;45.1;1.3033;6;0
2167;1.0;934.0;40.0;940.0;54.0;1644.0;22.5;49.0;1.3151;6;1
2168;0.9;914.0;42.0;965.0;57.0;1609.0;22.3;50.6;1.3486;6;2
2169;0.5;824.0;246.8967349054159;1107.0;113.09125081011017;1517.0;22.0;50.5;1.3199;6;3
2170;0.5;817.0;31.0;1113.0;51.0;1501.0;20.8;54.4;1.3229;6;4
2171;0.5;833.0;54.0;1084.0;58.0;1525.0;20.3;56.0;1.3204;6;5
2172;1.0;935.0;88.0;899.0;69.0;1675.0;20.5;54.8;1.3073;6;6
2173;3.5;1297.0;261.0;630.0;107.0;2214.0;21.7;50.6;1.2981;6;7
2174;6.4;1496.0;357.0;507.0;151.0;2691.0;23.4;46.1;1.3091;6;8
2175;2.9;1201.0;265.0;701.0;146.0;1987.0;25.1;43.0;1.3488;6;9
2176;3.4;1267.0;247.0;676.0;165.0;2059.0;30.1;32.8;1.3795;6;1
2177;2.8;1224.0;189.0;711.0;159.0;1972.0;34.7;25.9;1.4069;6;11
2178;2.8;1247.0;168.0;701.0;174.0;2000.0;37.2;23.2;1.4478;6;12
2179;2.8;1183.0;183.0;721.0;167.0;1937.0;39.5;18.3;1.2917;6;13
2180;2.3;1078.0;157.0;815.0;137.0;1761.0;40.6;15.3;1.1485;6;14
2181;1.8;1076.0;113.0;894.0;116.0;1665.0;40.3;16.1;1.1896;6;15
2182;2.0;1052.0;140.0;896.0;125.0;1610.0;40.3;14.2;1.0494;6;16
2183;3.5;1287.0;230.0;699.0;194.0;2008.0;39.6;16.7;1.1867;6;17
2184;4.9;1460.0;277.0;586.0;222.0;2288.0;37.3;23.4;1.4672;6;18
2185;4.6;1357.0;295.0;620.0;206.0;2195.0;33.7;27.7;1.4213;6;19
2186;3.4;1234.0;212.0;695.0;162.0;2019.0;30.7;32.2;1.3983;6;2
2187;2.7;1151.0;151.0;747.0;132.0;1894.0;28.4;35.7;1.3549;6;21
2188;1.9;1065.0;110.0;805.0;107.0;1763.0;26.5;38.6;1.3154;6;22
2189;1.5;984.0;83.0;917.0;84.0;1654.0;25.4;40.1;1.2822;6;23
2190;1.0;938.0;48.0;956.0;61.0;1607.0;24.1;43.3;1.2839;6;0
2191;0.7;878.0;27.0;1065.0;42.0;1527.0;23.9;45.6;1.3328;6;1
2192;1.0;919.0;48.0;967.0;66.0;1598.0;22.0;52.8;1.3752;6;2
2193;0.6;836.0;246.8967349054159;1085.0;113.09125081011017;1498.0;20.7;56.1;1.3565;6;3
2194;2.1527495439145166;814.0;33.0;1138.0;50.0;1488.0;20.1;57.3;1.3352;6;4
2195;0.9;872.0;75.0;1001.0;76.0;1607.0;19.5;59.4;1.3328;6;5
2196;1.2;949.0;101.0;887.0;78.0;1711.0;20.0;56.6;1.3095;6;6
2197;2.9;1227.0;214.0;661.0;104.0;2087.0;21.7;53.9;1.3848;6;7
2198;4.8;1360.0;290.0;545.0;139.0;2525.0;23.7;49.0;1.4152;6;8
2199;4.3;1318.0;311.0;586.0;166.0;2316.0;25.9;44.3;1.4544;6;9
2200;3.1;1196.0;234.0;705.0;151.0;1981.0;30.1;34.3;1.4414;6;1
2201;2.4;1152.0;157.0;770.0;134.0;1868.0;33.5;27.2;1.3859;6;11
2202;2.8;1220.0;165.0;715.0;148.0;1935.0;35.4;26.1;1.4806;6;12
2203;2.5;1182.0;137.0;735.0;126.0;1893.0;37.9;23.2;1.502;6;13
2204;2.6;1167.0;149.0;719.0;144.0;1944.0;39.7;18.7;1.3306;6;14
2205;2.3;1142.0;140.0;782.0;133.0;1789.0;40.4;17.2;1.2774;6;15
2206;2.4;1157.0;139.0;779.0;139.0;1792.0;40.0;18.8;1.363;6;16
2207;3.5;1274.0;221.0;670.0;178.0;2054.0;38.9;18.8;1.29;6;17
2208;4.8;1372.0;318.0;631.0;206.0;2183.0;35.8;22.1;1.2792;6;18
2209;5.1;1373.0;363.0;635.0;211.0;2183.0;33.1;25.9;1.2923;6;19
2210;4.7;1290.0;341.0;655.0;180.0;2146.0;30.9;28.2;1.2388;6;2
2211;2.4;1056.0;163.0;826.0;116.0;1758.0;27.5;32.6;1.176;6;21
2212;2.5;1116.0;157.0;768.0;118.0;1826.0;26.3;34.3;1.1605;6;22
2213;2.7;1106.0;202.0;783.0;115.0;1813.0;25.5;34.1;1.0968;6;23
2214;1.5;1018.0;102.0;839.0;96.0;1710.0;24.7;39.3;1.2065;6;0
2215;1.1;919.0;70.0;915.0;86.0;1628.0;24.2;39.5;1.1764;6;1
2216;0.6;807.0;41.0;1092.0;65.0;1435.0;24.8;37.8;1.1639;6;2
2217;0.5;787.0;246.8967349054159;1176.0;113.09125081011017;1403.0;22.7;43.8;1.1952;6;3
2218;0.4;789.0;36.0;1146.0;53.0;1407.0;22.0;44.3;1.1553;6;4
2219;0.6;825.0;68.0;1050.0;74.0;1491.0;19.3;51.4;1.1364;6;5
2220;1.0;912.0;92.0;923.0;69.0;1608.0;19.8;50.4;1.1525;6;6
2221;4.6;1339.0;332.0;595.0;131.0;2264.0;20.5;48.2;1.1474;6;7
2222;4.8;1355.0;333.0;567.0;134.0;2397.0;22.8;42.7;1.1667;6;8
2223;4.0;1250.0;298.0;632.0;148.0;2104.0;25.6;35.8;1.1548;6;9
2224;2.1527495439145166;1105.0;246.8967349054159;788.0;113.09125081011017;1774.0;30.0;27.5;1.1509;6;1
2225;2.0;1076.0;146.0;817.0;113.09125081011017;1734.0;34.4;21.0;1.1248;6;11
2226;2.0;1096.0;120.0;801.0;111.0;1759.0;35.9;19.6;1.1422;6;12
2227;2.0;1093.0;108.0;797.0;110.0;1769.0;37.2;18.2;1.1389;6;13
2228;1.9;1027.0;109.0;837.0;110.0;1689.0;37.3;16.6;1.0435;6;14
2229;1.9;1026.0;124.0;848.0;116.0;1654.0;37.4;14.9;0.9413;6;15
2230;1.9;1015.0;127.0;877.0;120.0;1668.0;36.4;15.1;0.9005;6;16
2231;2.6;1028.0;185.0;832.0;142.0;1691.0;35.4;14.7;0.8323;6;17
2232;3.2;1074.0;230.0;776.0;146.0;1833.0;34.2;14.2;0.7502;6;18
2233;3.4;1124.0;265.0;765.0;153.0;1863.0;31.1;18.7;0.8302;6;19
2234;3.4;1111.0;261.0;765.0;158.0;1851.0;29.1;22.0;0.8702;6;2
2235;2.9;1062.0;219.0;794.0;140.0;1731.0;27.2;22.5;0.7962;6;21
